Date,Price
1943/08/31,11.8
1943/09/30,12.2
1943/10/29,12.0283
1943/11/30,11.1295
1943/12/31,11.9879
1944/01/31,12.1728
1944/02/29,12.142
1944/03/31,12.4194
1944/04/28,12.2644
1944/05/31,12.7603
1944/06/30,13.6592
1944/07/31,13.3751
1944/08/31,13.4909
1944/09/29,13.5435
1944/10/31,13.586
1944/11/30,13.6391
1944/12/29,14.3301
1945/01/31,14.5352
1945/02/28,15.4308
1945/03/30,14.6862
1945/04/30,16.1082
1945/05/31,16.2927
1945/06/29,16.4013
1945/07/31,16.1696
1945/08/31,17.1072
1945/09/28,17.8572
1945/10/31,18.5247
1945/11/30,19.1255
1945/12/31,19.5372
1946/01/31,20.899
1946/02/28,19.4472
1946/03/29,20.415
1946/04/30,21.2298
1946/05/31,21.7051
1946/06/28,21.128
1946/07/31,20.5892
1946/08/30,19.0874
1946/09/30,17.322
1946/10/31,17.183
1946/11/29,16.9977
1946/12/31,17.9704
1947/01/31,18.3932
1947/02/28,18.1231
1947/03/31,17.9469
1947/04/30,17.2489
1947/05/30,17.0951
1947/06/30,18.3255
1947/07/31,18.9881
1947/08/29,18.458
1947/09/30,18.4218
1947/10/31,18.812
1947/11/28,18.2633
1947/12/31,18.9827
1948/01/30,18.2134
1948/02/27,17.2829
1948/03/31,18.8586
1948/04/30,19.3588
1948/05/31,20.872
1948/06/30,21.2847
1948/07/30,20.1531
1948/08/31,20.3057
1948/09/30,19.9496
1948/10/29,21.2504
1948/11/30,18.9966
1948/12/31,20.0012
1949/01/31,20.0275
1949/02/28,19.238
1949/03/31,20.0406
1949/04/29,19.5749
1949/05/31,18.8829
1949/06/30,19.2422
1949/07/29,20.438
1949/08/31,20.6826
1949/09/30,21.96
1949/10/31,22.6084
1949/11/30,22.6366
1949/12/30,24.7226
1950/01/31,25.1055
1950/02/28,25.3558
1950/03/31,25.9006
1950/04/28,26.9043
1950/05/31,28.1327
1950/06/30,27.129
1950/07/31,27.359
1950/08/31,28.2485
1950/09/29,30.4108
1950/10/31,30.5359
1950/11/30,30.5047
1950/12/29,32.7874
1951/01/31,34.7614
1951/02/28,34.9861
1951/03/30,34.8738
1951/04/30,36.4161
1951/05/31,34.9387
1951/06/29,34.6627
1951/07/31,37.0441
1951/08/31,38.4994
1951/09/28,38.979
1951/10/31,38.4427
1951/11/30,38.3422
1951/12/31,40.6045
1952/01/31,41.2366
1952/02/29,39.7333
1952/03/31,42.0736
1952/04/30,40.2608
1952/05/30,41.1931
1952/06/30,43.8173
1952/07/31,44.5897
